Section,Table/Figure,Title,Period,Country,Age_group,Breakdown/Measure,Data_type,Value,Value_Denominator,Value_Numerator
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,26-39,Female,Percentage,50.2,121185,60880
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,26-39,Male,Percentage,49.8,121185,60305
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,26-39,Total,Percentage,100,121185,121185
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,26-39,Female,Percentage,50.8,127465,64815
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,26-39,Male,Percentage,49.2,127465,62650
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,26-39,Total,Percentage,100,127465,127465
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,40-59,Female,Percentage,40.5,925810,374635
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,40-59,Male,Percentage,59.5,925810,551175
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,40-59,Total,Percentage,100,925810,925810
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,40-59,Female,Percentage,40.7,957880,389380
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,40-59,Male,Percentage,59.3,957880,568500
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,40-59,Total,Percentage,100,957880,957880
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,40-59,Female,Percentage,40.8,996680,407095
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,40-59,Male,Percentage,59.2,996680,589585
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,40-59,Total,Percentage,100,996680,996680
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,40-59,Female,Percentage,41.2,1010730,416390
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,40-59,Male,Percentage,58.8,1010730,594340
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,40-59,Total,Percentage,100,1010730,1010730
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,40-59,Female,Percentage,41.6,1037340,431270
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,40-59,Male,Percentage,58.4,1037340,606075
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,40-59,Total,Percentage,100,1037340,1037340
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,60-79,Female,Percentage,43,1562515,671730
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,60-79,Male,Percentage,57,1562515,890790
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,60-79,Total,Percentage,100,1562515,1562515
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,60-79,Female,Percentage,42.9,1619410,694875
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,60-79,Male,Percentage,57.1,1619410,924535
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,60-79,Total,Percentage,100,1619410,1619410
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,60-79,Female,Percentage,42.8,1677700,718145
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,60-79,Male,Percentage,57.2,1677700,959555
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,60-79,Total,Percentage,100,1677700,1677700
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,60-79,Female,Percentage,42.7,1694820,723925
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,60-79,Male,Percentage,57.3,1694820,970895
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,60-79,Total,Percentage,100,1694820,1694820
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,60-79,Female,Percentage,42.7,1731925,739720
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,60-79,Male,Percentage,57.3,1731925,992210
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,60-79,Total,Percentage,100,1731925,1731925
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,19-25,Asian,Percentage,19.9,8065,1605
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,19-25,Black,Percentage,6.4,8065,515
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,19-25,Mixed,Percentage,2.1,8065,170
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,19-25,White,Percentage,54.7,8065,4410
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,19-25,Other,Percentage,2.2,8065,175
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,19-25,Not stated/Not known,Percentage,14.8,8065,1190
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,19-25,Total,Percentage,100,8065,8065
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,19-25,Asian,Percentage,20,8725,1745
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,19-25,Black,Percentage,6.5,8725,570
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,19-25,Mixed,Percentage,2.1,8725,185
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,19-25,White,Percentage,55.6,8725,4850
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,19-25,Other,Percentage,2.1,8725,180
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,19-25,Not stated/Not known,Percentage,13.8,8725,1200
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,19-25,Total,Percentage,100,8725,8725
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,19-25,Asian,Percentage,21.5,8785,1885
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,19-25,Black,Percentage,6.8,8785,595
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,19-25,Mixed,Percentage,2.4,8785,215
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,19-25,White,Percentage,53.6,8785,4710
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,19-25,Other,Percentage,2,8785,180
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,19-25,Not stated/Not known,Percentage,13.7,8785,1205
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,19-25,Total,Percentage,100,8785,8785
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,19-25,Asian,Percentage,22.1,9065,2005
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,19-25,Black,Percentage,7.1,9065,645
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,19-25,Mixed,Percentage,2.8,9065,255
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,19-25,White,Percentage,53.4,9065,4845
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,19-25,Other,Percentage,2.1,9065,190
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,19-25,Not stated/Not known,Percentage,12.4,9065,1125
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,19-25,Total,Percentage,100,9065,9065
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,19-25,Asian,Percentage,22.9,9765,2240
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,19-25,Black,Percentage,7.8,9765,760
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,19-25,Mixed,Percentage,3.3,9765,325
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,19-25,White,Percentage,53.7,9765,5240
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,19-25,Other,Percentage,2.1,9765,205
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,19-25,Not stated/Not known,Percentage,10.2,9765,995
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,19-25,Total,Percentage,100,9765,9765
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,26-39,Asian,Percentage,30.5,107615,32820
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,26-39,Black,Percentage,6.8,107615,7315
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,26-39,Mixed,Percentage,2.1,107615,2280
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,26-39,White,Percentage,47.2,107615,50830
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,26-39,Other,Percentage,2.3,107615,2495
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,26-39,Not stated/Not known,Percentage,11,107615,11870
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,26-39,Total,Percentage,100,107615,107615
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,26-39,Asian,Percentage,30.3,113445,34420
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,26-39,Black,Percentage,6.7,113445,7620
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,26-39,Mixed,Percentage,2.1,113445,2345
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,26-39,White,Percentage,48.2,113445,54680
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,26-39,Other,Percentage,2.2,113445,2455
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,26-39,Not stated/Not known,Percentage,10.5,113445,11920
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,26-39,Total,Percentage,100,113445,113445
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,26-39,Asian,Percentage,30.3,118725,35930
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,26-39,Black,Percentage,6.7,118725,7955
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,26-39,Mixed,Percentage,2.1,118725,2440
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,26-39,White,Percentage,48.5,118725,57585
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,26-39,Other,Percentage,2.1,118725,2470
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,26-39,Not stated/Not known,Percentage,10.4,118725,12340
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,26-39,Total,Percentage,100,118725,118725
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,26-39,Asian,Percentage,29.7,121190,35970
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,26-39,Black,Percentage,6.8,121190,8210
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,26-39,Mixed,Percentage,2.1,121190,2530
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,26-39,White,Percentage,50.2,121190,60865
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,26-39,Other,Percentage,2.1,121190,2560
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,26-39,Not stated/Not known,Percentage,9.1,121190,11055
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2020-21,England and Wales,26-39,Total,Percentage,100,121190,121190
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,26-39,Asian,Percentage,29.6,127495,37700
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,26-39,Black,Percentage,6.8,127495,8725
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,26-39,Mixed,Percentage,2.1,127495,2675
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,26-39,White,Percentage,51.9,127495,66145
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,26-39,Other,Percentage,2.1,127495,2710
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,26-39,Not stated/Not known,Percentage,7.5,127495,9535
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2021-22,England and Wales,26-39,Total,Percentage,100,127495,127495
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,40-59,Asian,Percentage,18.3,925815,169435
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,40-59,Black,Percentage,6.6,925815,61165
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,40-59,Mixed,Percentage,1.5,925815,14035
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,40-59,White,Percentage,57.2,925815,529220
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,40-59,Other,Percentage,2.1,925815,19680
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,40-59,Not stated/Not known,Percentage,14.3,925815,132275
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2017-18,England and Wales,40-59,Total,Percentage,100,925815,925815
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,40-59,Asian,Percentage,18.9,957885,181285
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,40-59,Black,Percentage,6.8,957885,64710
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,40-59,Mixed,Percentage,1.5,957885,14510
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,40-59,White,Percentage,57.5,957885,550820
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,40-59,Other,Percentage,2,957885,19580
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,40-59,Not stated/Not known,Percentage,13.3,957885,126990
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2018-19,England and Wales,40-59,Total,Percentage,100,957885,957885
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,40-59,Asian,Percentage,19.5,996690,194655
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,40-59,Black,Percentage,6.9,996690,69180
Characteristics and trends,Figure 2,Percentage of people with type 2 diabetes by age group and ethnicity,2019-20,England and Wales,40-59,Mixed,Percentage,1.5,996690,15420
